NUTS_ID,year,window,gdd,heat,frost,precip
AL012,1964,Mar-Jul,1861.165,69.924,0.485,519.411
AL012,1965,Apr-Aug,2195.414,167.701,0.132,332.03
AL012,1965,Mar-Jul,1798.802,124.069,1.848,330.256
AL012,1966,Apr-Aug,2327.996,147.142,0.132,218.819
AL012,1966,Mar-Jul,1844.416,70.851,2.691,264.039
AL012,1967,Apr-Aug,2258.303,173.802,0,296.676
AL012,1967,Mar-Jul,1799.935,83.055,0.749,335.271
AL012,1968,Apr-Aug,2352.93,116.297,0,345.455
AL012,1968,Mar-Jul,1983.075,104.378,6.21,330.436
AL012,1969,Apr-Aug,2210.691,123.685,0,369.907
AL012,1969,Mar-Jul,1796.18,77.188,0,489.811
AL012,1970,Apr-Aug,2172.831,159.028,0.485,413.943
AL012,1970,Mar-Jul,1739.259,95.783,2.555,529.113
AL012,1971,Apr-Aug,2337.955,176.613,0,229.834
AL012,1971,Mar-Jul,1806.334,72.059,8.42,425.393
AL012,1972,Apr-Aug,2253.492,112.712,0,452.013
AL012,1972,Mar-Jul,1924.875,67.62,0.243,361.25
AL012,1973,Apr-Aug,2260.177,185.842,0,288.074
AL012,1973,Mar-Jul,1770.006,112.105,5.815,315.236
AL012,1974,Apr-Aug,2189.65,202.818,0,412.716
AL012,1974,Mar-Jul,1753.792,94.2,0.375,459.674
AL012,1975,Apr-Aug,2243.948,123.038,0,148.717
AL012,1975,Mar-Jul,1851.54,86.442,1.86,244.391
AL012,1976,Apr-Aug,2121.271,60.19,0,396.452
AL012,1976,Mar-Jul,1771.392,55.047,4.256,379.123
AL012,1977,Apr-Aug,2274.349,150.568,0.111,130.016
AL012,1977,Mar-Jul,1910.474,86.994,3.354,173.365
AL012,1978,Apr-Aug,2158.085,123.898,0,400.048
AL012,1978,Mar-Jul,1756.947,83.053,0.728,545.462
AL012,1979,Apr-Aug,2187.474,117.071,0,321.252
AL012,1979,Mar-Jul,1842.868,81.013,1.375,369.992
AL012,1980,Apr-Aug,2014.365,133.706,0,299.128
AL012,1980,Mar-Jul,1576.352,60.019,3.881,371.829
AL012,1981,Apr-Aug,2224.94,176.198,0,170.085
AL012,1981,Mar-Jul,1839.796,97.102,0.264,252.719
AL012,1982,Apr-Aug,2355.398,164.628,0,127.947
AL012,1982,Mar-Jul,1879.747,101.077,1.72,188.308
AL012,1983,Apr-Aug,2251.805,121.437,0,234.223
AL012,1983,Mar-Jul,1880.609,97.563,3.177,246.071
AL012,1984,Apr-Aug,2077.969,110.776,0,140.324
AL012,1984,Mar-Jul,1671.959,79.529,1.235,204.409
AL012,1985,Apr-Aug,2307.791,205.608,0,131.342
AL012,1985,Mar-Jul,1875.479,96.591,0,230.302
AL012,1986,Apr-Aug,2356.664,141.989,0,177.961
AL012,1986,Mar-Jul,1923.479,41.856,0.243,265.694
AL012,1987,Apr-Aug,2226.012,200.797,0,204.917
AL012,1987,Mar-Jul,1720.534,145.864,13.971,311.035
AL012,1988,Apr-Aug,2396.244,239.579,0.375,148.816
AL012,1988,Mar-Jul,1892.107,138.784,3.202,203.969
AL012,1989,Apr-Aug,2179.852,90.722,0,290.031
AL012,1989,Mar-Jul,1832.627,37.857,0.132,297.046
AL012,1990,Apr-Aug,2274.522,166.67,0,188.95
AL012,1990,Mar-Jul,1924.148,104.426,1.485,178.072
AL012,1991,Apr-Aug,2106.973,209.326,0,206.887
AL012,1991,Mar-Jul,1711.707,138.149,1.004,234.491
AL012,1992,Apr-Aug,2301.603,286.927,0,236.401
AL012,1992,Mar-Jul,1770.966,94.389,3.967,269.891
AL012,1993,Apr-Aug,2342.174,299.911,0.724,110.329
AL012,1993,Mar-Jul,1829.104,128.276,5.922,235.486
AL012,1994,Apr-Aug,2363.196,366.257,0,194.067
AL012,1994,Mar-Jul,1907.474,196.042,1.357,175.754
AL012,1995,Apr-Aug,2187.843,199.303,1.375,268.41
AL012,1995,Mar-Jul,1732.167,140.554,3.202,296.265
AL012,1996,Apr-Aug,2294.677,209.575,0.375,190.199
AL012,1996,Mar-Jul,1791.433,114.214,7.462,304.172
AL012,1997,Apr-Aug,2177.349,198.577,1.235,87.931
AL012,1997,Mar-Jul,1762.288,132.339,2.559,105.83
AL012,1998,Apr-Aug,2335.557,342.882,0,156.392
AL012,1998,Mar-Jul,1800.575,176.739,7.074,142.981
AL012,1999,Apr-Aug,2368.827,267.051,0,149.318
AL012,1999,Mar-Jul,1894.91,113.328,1.864,172.988
AL012,2000,Apr-Aug,2501.039,247.428,0,96.292
AL012,2000,Mar-Jul,2000.525,129.957,6.159,143.129
AL012,2001,Apr-Aug,2558.494,355.81,0.243,160.821
AL012,2001,Mar-Jul,2163.217,177.718,0.243,195.073
AL012,2002,Apr-Aug,2484.983,164.914,0,142.01
AL012,2002,Mar-Jul,2126.277,139.417,0,138.156
AL012,2003,Apr-Aug,2743.409,405.385,1.617,68.155
AL012,2003,Mar-Jul,2215.332,236.85,4.308,65.765
AL012,2004,Apr-Aug,2359.227,150.54,0,204.238
AL012,2004,Mar-Jul,1946.973,102.767,2.485,298.712
AL012,2005,Apr-Aug,2395.68,161.74,0.507,71.784
AL012,2005,Mar-Jul,1975.105,107.301,6.956,126.487
AL012,2006,Apr-Aug,2320.892,197.045,0,186.9
AL012,2006,Mar-Jul,1906.607,143.645,1.617,254.086
AL012,2007,Apr-Aug,2531.205,346.833,0,61.686
AL012,2007,Mar-Jul,2117.226,226.19,0,135.291
AL012,2008,Apr-Aug,2394.785,299.146,0,202.352
AL012,2008,Mar-Jul,1953.974,174.598,0,309.876
AL012,2009,Apr-Aug,2429.159,214.078,0,180.716
AL012,2009,Mar-Jul,1937.162,105.399,2.72,252.908
AL012,2010,Apr-Aug,2356.663,215.153,0,150.376
AL012,2010,Mar-Jul,1899.303,110.56,3.091,224.209
AL012,2011,Apr-Aug,2392.551,244.571,0,92.797
AL012,2011,Mar-Jul,1913.853,102.263,4.839,138.614
AL012,2012,Apr-Aug,2485.311,436.494,0.485,207.018
AL012,2012,Mar-Jul,2019.406,265.228,1.941,223.297
AL012,2013,Apr-Aug,2429.845,279.688,0,215.669
AL012,2013,Mar-Jul,1966.976,141.421,1.695,356.877
AL012,2014,Apr-Aug,2244.013,192.155,0,294.305
AL012,2014,Mar-Jul,1831.626,98.457,0.485,335.719
AL012,2015,Apr-Aug,2470.415,407.932,0.353,118.493
AL012,2015,Mar-Jul,1970.884,237.035,2.324,184.964
AL012,2016,Apr-Aug,2450.626,331.924,0,205.567
AL012,2016,Mar-Jul,2024.547,204.105,0,299.462
AL012,2017,Apr-Aug,2525.619,466.094,0.485,115.498
AL012,2017,Mar-Jul,2098.158,259.717,0.485,141.277
AL012,2018,Apr-Aug,2614.316,330.782,0,156.522
AL012,2018,Mar-Jul,2162.106,170.547,1.264,337.705
AL012,2019,Apr-Aug,2453.034,391.242,0,257.876
AL012,2019,Mar-Jul,2020.276,221.86,0.839,265.254
AL012,2020,Apr-Aug,2394.143,351.86,1.375,90.813
AL012,2020,Mar-Jul,1938.88,187.245,2.342,147.686
AL012,2021,Apr-Aug,2463.935,442.565,0.596,112.12
AL012,2021,Mar-Jul,1925.15,262.227,3.751,165.422
AL012,2022,Apr-Aug,2562.942,464.597,0,129.42
AL012,2022,Mar-Jul,2037.228,308.801,9.706,153.137
AL012,2023,Apr-Aug,2431.078,368.659,0,182.432
AL012,2023,Mar-Jul,1997.931,226.147,0.485,243.627
AL012,2024,Apr-Aug,2786.637,610.081,0,267.854
AL012,2024,Mar-Jul,2344.01,371.257,0,365.659
AL013,1950,Apr-Aug,1691.293,67.784,4.33,114.643
AL013,1950,Mar-Jul,1238.944,38.997,26.909,137.603
AL013,1951,Apr-Aug,1522.924,24.164,3.654,298.695
AL013,1951,Mar-Jul,1120.591,4.475,17.794,344.667
AL013,1952,Apr-Aug,1671.535,62.107,6.839,122.276
AL013,1952,Mar-Jul,1196.084,10.817,30.652,158.81
AL013,1953,Apr-Aug,1481.743,12.657,5.484,334.638
AL013,1953,Mar-Jul,1104.757,11.756,33.851,310.093
AL013,1954,Apr-Aug,1440.62,22.973,8.269,311.153
AL013,1954,Mar-Jul,1060.695,10.32,15.972,340.892
AL013,1955,Apr-Aug,1322.949,2.319,14.293,301.46
AL013,1955,Mar-Jul,1032.785,2.319,31.194,296.513
AL013,1956,Apr-Aug,1466.423,34.162,7.68,280.992
AL013,1956,Mar-Jul,1002.16,3.569,36.467,341.828
AL013,1957,Apr-Aug,1457.383,34.549,6.903,356.284
AL013,1957,Mar-Jul,1103.51,16.458,26.878,303.151
AL013,1958,Apr-Aug,1488.861,31.184,10.334,269.027
AL013,1958,Mar-Jul,1053.051,13.863,36.816,420.442
AL013,1959,Apr-Aug,1282.799,0.626,5.43,537.861
AL013,1959,Mar-Jul,987.391,0.332,14.769,444.754
AL013,1960,Apr-Aug,1351.535,13.554,5.524,283.158
AL013,1960,Mar-Jul,955.904,1.014,18.201,373.243
AL013,1961,Apr-Aug,1397.644,17.05,1.817,340.039
AL013,1961,Mar-Jul,1029.85,1.514,23.786,370.377
AL013,1962,Apr-Aug,1499.525,38.85,7.792,271.89
AL013,1962,Mar-Jul,1046.76,14.33,25.87,436.4
AL013,1963,Apr-Aug,1502.55,34.148,3.608,369.708
AL013,1963,Mar-Jul,1068.442,11.628,24.684,387.36
AL013,1964,Apr-Aug,1311.666,0.401,8.247,357.303
AL013,1964,Mar-Jul,987.933,0.294,24.867,407.05
AL013,1965,Apr-Aug,1321.031,22.707,9.247,358.718
AL013,1965,Mar-Jul,993.95,16.03,28.366,366.508
AL013,1966,Apr-Aug,1404.336,9.565,3.927,277.433
AL013,1966,Mar-Jul,995.641,2.173,24.254,306.504
AL013,1967,Apr-Aug,1374.029,9.145,9.419,368.284
AL013,1967,Mar-Jul,977.762,3.463,30.355,423.811
AL013,1968,Apr-Aug,1477.664,14.436,2.899,398.119
AL013,1968,Mar-Jul,1184.872,14.436,22.488,321.754
AL013,1969,Apr-Aug,1359.348,4.807,10.699,360.376
AL013,1969,Mar-Jul,997.034,1.707,26.496,387.426
AL013,1970,Apr-Aug,1305.769,10.22,9.909,426.808
AL013,1970,Mar-Jul,946.385,4.495,29.95,473.289
AL013,1971,Apr-Aug,1434.537,12.698,4.303,261.77
AL013,1971,Mar-Jul,1019.284,1.496,26.583,366.226
AL013,1972,Apr-Aug,1383.119,11.257,3.04,487.3
AL013,1972,Mar-Jul,1082.189,2.39,17.027,395.05
AL013,1973,Apr-Aug,1371.727,7.859,10.881,373.554
AL013,1973,Mar-Jul,1008.254,6.541,36.653,344.679
AL013,1974,Apr-Aug,1270.855,30.875,10.99,364.639
AL013,1974,Mar-Jul,916.06,12.506,26.125,377.564
AL013,1975,Apr-Aug,1352.336,3.26,7.195,298.396
AL013,1975,Mar-Jul,1032.705,3.087,23.937,333.319
AL013,1976,Apr-Aug,1149.809,0.124,5.83,516.124
AL013,1976,Mar-Jul,889.512,0.124,30.66,470.063
AL013,1977,Apr-Aug,1396.228,9.148,11.241,254.238
AL013,1977,Mar-Jul,1082.012,3.45,27.536,263.52
AL013,1978,Apr-Aug,1274.491,5.886,5.501,384.447
AL013,1978,Mar-Jul,942.189,4.527,23.415,458.924
AL013,1979,Apr-Aug,1277.718,10.464,10.372,393.716
AL013,1979,Mar-Jul,985.343,1.819,24.004,360.918
AL013,1980,Apr-Aug,1197.805,15.845,15.499,320.841
AL013,1980,Mar-Jul,829.491,3.715,34.823,373.157
AL013,1981,Apr-Aug,1354.995,17.841,7.755,268.636
AL013,1981,Mar-Jul,1034.09,4.324,19.169,294.638
AL013,1982,Apr-Aug,1483.112,19.35,8.107,212.073
AL013,1982,Mar-Jul,1095.976,16.101,31.75,259.875
AL013,1983,Apr-Aug,1381.829,5.328,5.114,323.066
AL013,1983,Mar-Jul,1070.461,4.651,22.782,325.931
AL013,1984,Apr-Aug,1214.832,10.079,9.263,243.226
AL013,1984,Mar-Jul,885.031,9.363,30.127,222.118
AL013,1985,Apr-Aug,1456.488,31.702,4.706,234.292
AL013,1985,Mar-Jul,1053.482,11.605,20.994,272.887
AL013,1986,Apr-Aug,1464.78,9.307,3.593,327.276
AL013,1986,Mar-Jul,1072.672,0.455,15.946,378.602
AL013,1987,Apr-Aug,1433.334,43.289,9.207,234.801
AL013,1987,Mar-Jul,1034.8,37.619,34.881,303.218
AL013,1988,Apr-Aug,1572.78,64.256,6.185,187.283
AL013,1988,Mar-Jul,1122.646,33.899,27.519,267.238
AL013,1989,Apr-Aug,1299.977,3.746,2.637,415.326
AL013,1989,Mar-Jul,982.298,1.546,11.75,393.28
AL013,1990,Apr-Aug,1401.976,13.431,5.528,234.296
AL013,1990,Mar-Jul,1082.802,10.155,17.521,224.308
AL013,1991,Apr-Aug,1236.218,8.649,9.202,324.816
AL013,1991,Mar-Jul,918.447,7.934,19.424,333.511
AL013,1992,Apr-Aug,1460.854,35.614,6.253,339.442
AL013,1992,Mar-Jul,982.943,2.237,30.719,373.533
AL013,1993,Apr-Aug,1542.699,55.541,5.566,201.134
AL013,1993,Mar-Jul,1112.385,23.458,28.797,305.348
AL013,1994,Apr-Aug,1561.919,37.557,4.245,297.127
AL013,1994,Mar-Jul,1149.849,9.549,19.687,273.007
AL013,1995,Apr-Aug,1386.09,8.483,12.332,356.502
AL013,1995,Mar-Jul,1046.225,7.944,35.93,355.64
AL013,1996,Apr-Aug,1478.098,15.68,8.059,250.168
AL013,1996,Mar-Jul,1074.482,10.529,31.768,296.341
AL013,1997,Apr-Aug,1372.022,11.449,21.345,248.042
AL013,1997,Mar-Jul,1027.994,11.319,47.764,238.674
AL013,1998,Apr-Aug,1576.468,80.336,3.601,302.073
AL013,1998,Mar-Jul,1122.886,38.358,32.514,263.25
AL013,1999,Apr-Aug,1580.605,31.976,1.966,304.857
AL013,1999,Mar-Jul,1142.135,3.967,22.028,329.169
AL013,2000,Apr-Aug,1669.83,77.436,3.725,178.716
AL013,2000,Mar-Jul,1234.504,37.504,27.262,245.148
AL013,2001,Apr-Aug,1616.299,46.666,8.832,340.366
AL013,2001,Mar-Jul,1242.701,14.6,13.577,332.176
AL013,2002,Apr-Aug,1549.031,17.814,4.765,380.36
AL013,2002,Mar-Jul,1231.89,16.658,15.218,350.981
AL013,2003,Apr-Aug,1725.812,62.625,9.009,195.935
AL013,2003,Mar-Jul,1264.331,26.529,36.718,176.949
AL013,2004,Apr-Aug,1401.98,22.081,2.185,337.894
AL013,2004,Mar-Jul,1053.623,17.679,19.023,370.206
AL013,2005,Apr-Aug,1502.201,27.944,10.76,236.694
AL013,2005,Mar-Jul,1146.235,20.041,31.009,241.508
AL013,2006,Apr-Aug,1488.075,32.927,2.273,355.898
AL013,2006,Mar-Jul,1126.129,20.524,20.833,385.033
AL013,2007,Apr-Aug,1777.7,127.058,3.657,214.152
AL013,2007,Mar-Jul,1342.248,85.379,13.822,272.473
AL013,2008,Apr-Aug,1613.063,46.372,3.204,279.964
AL013,2008,Mar-Jul,1183.118,21.957,16.049,367.477
AL013,2009,Apr-Aug,1617.793,28.692,1.146,353.305
AL013,2009,Mar-Jul,1199.801,15.698,23.322,408.977
AL013,2010,Apr-Aug,1589.652,40.175,3.126,304.288
AL013,2010,Mar-Jul,1165.213,15.376,21,384.644
AL013,2011,Apr-Aug,1605.87,73.67,6.256,217.417
AL013,2011,Mar-Jul,1154.908,23.834,24.273,265.076
AL013,2012,Apr-Aug,1795.855,143.198,6.366,264.606
AL013,2012,Mar-Jul,1323.586,81.707,26.973,273.496
AL013,2013,Apr-Aug,1660.572,55.513,0.632,295.842
AL013,2013,Mar-Jul,1218.217,25.477,14.531,441.158
AL013,2014,Apr-Aug,1488.646,19.33,4.396,410.613
AL013,2014,Mar-Jul,1098.418,2.574,16.443,452.837
AL013,2015,Apr-Aug,1735.556,98.329,8.998,189.84
AL013,2015,Mar-Jul,1259.674,58.939,28.942,254.309
AL013,2016,Apr-Aug,1700.073,38.809,1.343,340.155
AL013,2016,Mar-Jul,1304.227,29.882,11.84,420.425
AL013,2017,Apr-Aug,1769.066,141.787,5.289,232.923
AL013,2017,Mar-Jul,1346.228,67.365,12.21,286.168
AL013,2018,Apr-Aug,1802.79,21.681,0.206,332.196
AL013,2018,Mar-Jul,1383.818,6.985,12.306,526.389
AL013,2019,Apr-Aug,1664.628,83.745,1.223,375.709
AL013,2019,Mar-Jul,1230.022,32.625,12.779,391.27
