Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Albania","Yield","Barley","1982","kg/ha","2099.2"
"Crops and livestock products","Albania","Production","Barley","1982","t","25400"
"Crops and livestock products","Albania","Area harvested","Barley","1983","ha","13000"
"Crops and livestock products","Albania","Yield","Barley","1983","kg/ha","2307.7"
"Crops and livestock products","Albania","Production","Barley","1983","t","30000"
"Crops and livestock products","Albania","Area harvested","Barley","1984","ha","13000"
"Crops and livestock products","Albania","Yield","Barley","1984","kg/ha","2307.7"
"Crops and livestock products","Albania","Production","Barley","1984","t","30000"
"Crops and livestock products","Albania","Area harvested","Barley","1985","ha","13000"
"Crops and livestock products","Albania","Yield","Barley","1985","kg/ha","2307.7"
"Crops and livestock products","Albania","Production","Barley","1985","t","30000"
"Crops and livestock products","Albania","Area harvested","Barley","1986","ha","13000"
"Crops and livestock products","Albania","Yield","Barley","1986","kg/ha","2769.2"
"Crops and livestock products","Albania","Production","Barley","1986","t","36000"
"Crops and livestock products","Albania","Area harvested","Barley","1987","ha","13000"
"Crops and livestock products","Albania","Yield","Barley","1987","kg/ha","2923.1"
"Crops and livestock products","Albania","Production","Barley","1987","t","38000"
"Crops and livestock products","Albania","Area harvested","Barley","1988","ha","13000"
"Crops and livestock products","Albania","Yield","Barley","1988","kg/ha","3076.9"
"Crops and livestock products","Albania","Production","Barley","1988","t","40000"
"Crops and livestock products","Albania","Area harvested","Barley","1989","ha","13200"
"Crops and livestock products","Albania","Yield","Barley","1989","kg/ha","3030.3"
"Crops and livestock products","Albania","Production","Barley","1989","t","40000"
"Crops and livestock products","Albania","Area harvested","Barley","1990","ha","5000"
"Crops and livestock products","Albania","Yield","Barley","1990","kg/ha","1000"
"Crops and livestock products","Albania","Production","Barley","1990","t","5000"
"Crops and livestock products","Albania","Area harvested","Barley","1991","ha","3600"
"Crops and livestock products","Albania","Yield","Barley","1991","kg/ha","923.1"
"Crops and livestock products","Albania","Production","Barley","1991","t","3323"
"Crops and livestock products","Albania","Area harvested","Barley","1992","ha","4035"
"Crops and livestock products","Albania","Yield","Barley","1992","kg/ha","1380.2"
"Crops and livestock products","Albania","Production","Barley","1992","t","5569"
"Crops and livestock products","Albania","Area harvested","Barley","1993","ha","3117"
"Crops and livestock products","Albania","Yield","Barley","1993","kg/ha","1332.4"
"Crops and livestock products","Albania","Production","Barley","1993","t","4153"
"Crops and livestock products","Albania","Area harvested","Barley","1994","ha","3826"
"Crops and livestock products","Albania","Yield","Barley","1994","kg/ha","2352.3"
"Crops and livestock products","Albania","Production","Barley","1994","t","9000"
"Crops and livestock products","Albania","Area harvested","Barley","1995","ha","3229"
"Crops and livestock products","Albania","Yield","Barley","1995","kg/ha","2252.7"
"Crops and livestock products","Albania","Production","Barley","1995","t","7274"
"Crops and livestock products","Albania","Area harvested","Barley","1996","ha","2388"
"Crops and livestock products","Albania","Yield","Barley","1996","kg/ha","1337.9"
"Crops and livestock products","Albania","Production","Barley","1996","t","3195"
"Crops and livestock products","Albania","Area harvested","Barley","1997","ha","2565"
"Crops and livestock products","Albania","Yield","Barley","1997","kg/ha","1457.3"
"Crops and livestock products","Albania","Production","Barley","1997","t","3738"
"Crops and livestock products","Albania","Area harvested","Barley","1998","ha","1700"
"Crops and livestock products","Albania","Yield","Barley","1998","kg/ha","1910.6"
"Crops and livestock products","Albania","Production","Barley","1998","t","3248"
"Crops and livestock products","Albania","Area harvested","Barley","1999","ha","1600"
"Crops and livestock products","Albania","Yield","Barley","1999","kg/ha","1812.5"
"Crops and livestock products","Albania","Production","Barley","1999","t","2900"
"Crops and livestock products","Albania","Area harvested","Barley","2000","ha","1200"
"Crops and livestock products","Albania","Yield","Barley","2000","kg/ha","1500"
"Crops and livestock products","Albania","Production","Barley","2000","t","1800"
"Crops and livestock products","Albania","Area harvested","Barley","2001","ha","1200"
"Crops and livestock products","Albania","Yield","Barley","2001","kg/ha","2500"
"Crops and livestock products","Albania","Production","Barley","2001","t","3000"
"Crops and livestock products","Albania","Area harvested","Barley","2002","ha","800"
"Crops and livestock products","Albania","Yield","Barley","2002","kg/ha","4750"
"Crops and livestock products","Albania","Production","Barley","2002","t","3800"
"Crops and livestock products","Albania","Area harvested","Barley","2003","ha","1550"
"Crops and livestock products","Albania","Yield","Barley","2003","kg/ha","1871"
"Crops and livestock products","Albania","Production","Barley","2003","t","2900"
"Crops and livestock products","Albania","Area harvested","Barley","2004","ha","1500"
"Crops and livestock products","Albania","Yield","Barley","2004","kg/ha","2466.7"
"Crops and livestock products","Albania","Production","Barley","2004","t","3700"
"Crops and livestock products","Albania","Area harvested","Barley","2005","ha","1502"
"Crops and livestock products","Albania","Yield","Barley","2005","kg/ha","2729.7"
"Crops and livestock products","Albania","Production","Barley","2005","t","4100"
"Crops and livestock products","Albania","Area harvested","Barley","2006","ha","2175"
"Crops and livestock products","Albania","Yield","Barley","2006","kg/ha","2758.6"
"Crops and livestock products","Albania","Production","Barley","2006","t","6000"
"Crops and livestock products","Albania","Area harvested","Barley","2007","ha","1400"
"Crops and livestock products","Albania","Yield","Barley","2007","kg/ha","2500"
"Crops and livestock products","Albania","Production","Barley","2007","t","3500"
"Crops and livestock products","Albania","Area harvested","Barley","2008","ha","1400"
"Crops and livestock products","Albania","Yield","Barley","2008","kg/ha","2571.4"
"Crops and livestock products","Albania","Production","Barley","2008","t","3600"
"Crops and livestock products","Albania","Area harvested","Barley","2009","ha","1700"
"Crops and livestock products","Albania","Yield","Barley","2009","kg/ha","2647.1"
"Crops and livestock products","Albania","Production","Barley","2009","t","4500"
"Crops and livestock products","Albania","Area harvested","Barley","2010","ha","2500"
"Crops and livestock products","Albania","Yield","Barley","2010","kg/ha","2920"
"Crops and livestock products","Albania","Production","Barley","2010","t","7300"
"Crops and livestock products","Albania","Area harvested","Barley","2011","ha","2840"
"Crops and livestock products","Albania","Yield","Barley","2011","kg/ha","3063.4"
"Crops and livestock products","Albania","Production","Barley","2011","t","8700"
"Crops and livestock products","Albania","Area harvested","Barley","2012","ha","2500"
"Crops and livestock products","Albania","Yield","Barley","2012","kg/ha","2800"
"Crops and livestock products","Albania","Production","Barley","2012","t","7000"
"Crops and livestock products","Albania","Area harvested","Barley","2013","ha","2500"
"Crops and livestock products","Albania","Yield","Barley","2013","kg/ha","2788"
"Crops and livestock products","Albania","Production","Barley","2013","t","6970"
"Crops and livestock products","Albania","Area harvested","Barley","2014","ha","2703"
"Crops and livestock products","Albania","Yield","Barley","2014","kg/ha","2700.7"
"Crops and livestock products","Albania","Production","Barley","2014","t","7300"
"Crops and livestock products","Albania","Area harvested","Barley","2015","ha","2500"
"Crops and livestock products","Albania","Yield","Barley","2015","kg/ha","2800"
"Crops and livestock products","Albania","Production","Barley","2015","t","7000"
"Crops and livestock products","Albania","Area harvested","Barley","2016","ha","3104"
"Crops and livestock products","Albania","Yield","Barley","2016","kg/ha","2899.5"
"Crops and livestock products","Albania","Production","Barley","2016","t","9000"
"Crops and livestock products","Albania","Area harvested","Barley","2017","ha","3065"
"Crops and livestock products","Albania","Yield","Barley","2017","kg/ha","2947.8"
"Crops and livestock products","Albania","Production","Barley","2017","t","9035"
"Crops and livestock products","Albania","Area harvested","Barley","2018","ha","3397"
"Crops and livestock products","Albania","Yield","Barley","2018","kg/ha","2842.2"
"Crops and livestock products","Albania","Production","Barley","2018","t","9655"
"Crops and livestock products","Albania","Area harvested","Barley","2019","ha","2742"
"Crops and livestock products","Albania","Yield","Barley","2019","kg/ha","2896.4"
"Crops and livestock products","Albania","Production","Barley","2019","t","7942"
"Crops and livestock products","Albania","Area harvested","Barley","2020","ha","3771"
"Crops and livestock products","Albania","Yield","Barley","2020","kg/ha","3353.2"
"Crops and livestock products","Albania","Production","Barley","2020","t","12645"
"Crops and livestock products","Albania","Area harvested","Barley","2021","ha","5071"
"Crops and livestock products","Albania","Yield","Barley","2021","kg/ha","3019.1"
"Crops and livestock products","Albania","Production","Barley","2021","t","15310"
"Crops and livestock products","Albania","Area harvested","Barley","2022","ha","5597"
"Crops and livestock products","Albania","Yield","Barley","2022","kg/ha","3397.2"
"Crops and livestock products","Albania","Production","Barley","2022","t","19014"
"Crops and livestock products","Albania","Area harvested","Barley","2023","ha","6260"
"Crops and livestock products","Albania","Yield","Barley","2023","kg/ha","3383.2"
"Crops and livestock products","Albania","Production","Barley","2023","t","21178.8"
"Crops and livestock products","Albania","Area harvested","Barley","2024","ha","7500"
"Crops and livestock products","Albania","Yield","Barley","2024","kg/ha","3172.2"
"Crops and livestock products","Albania","Production","Barley","2024","t","23791.8"
"Crops and livestock products","Albania","Area harvested","Wheat","1961","ha","126500"
"Crops and livestock products","Albania","Yield","Wheat","1961","kg/ha","773.1"
"Crops and livestock products","Albania","Production","Wheat","1961","t","97800"
"Crops and livestock products","Albania","Area harvested","Wheat","1962","ha","139144"
"Crops and livestock products","Albania","Yield","Wheat","1962","kg/ha","1052.2"
"Crops and livestock products","Albania","Production","Wheat","1962","t","146407"
"Crops and livestock products","Albania","Area harvested","Wheat","1963","ha","86660"
"Crops and livestock products","Albania","Yield","Wheat","1963","kg/ha","712.7"
"Crops and livestock products","Albania","Production","Wheat","1963","t","61763"
"Crops and livestock products","Albania","Area harvested","Wheat","1964","ha","129048"
"Crops and livestock products","Albania","Yield","Wheat","1964","kg/ha","962.5"
"Crops and livestock products","Albania","Production","Wheat","1964","t","124208"
"Crops and livestock products","Albania","Area harvested","Wheat","1965","ha","105542"
"Crops and livestock products","Albania","Yield","Wheat","1965","kg/ha","1134.4"
"Crops and livestock products","Albania","Production","Wheat","1965","t","119728"
"Crops and livestock products","Albania","Area harvested","Wheat","1966","ha","117833"
"Crops and livestock products","Albania","Yield","Wheat","1966","kg/ha","1239.8"
"Crops and livestock products","Albania","Production","Wheat","1966","t","146084"
"Crops and livestock products","Albania","Area harvested","Wheat","1967","ha","120486"
"Crops and livestock products","Albania","Yield","Wheat","1967","kg/ha","1355"
"Crops and livestock products","Albania","Production","Wheat","1967","t","163261"
"Crops and livestock products","Albania","Area harvested","Wheat","1968","ha","143854"
"Crops and livestock products","Albania","Yield","Wheat","1968","kg/ha","1412.4"
"Crops and livestock products","Albania","Production","Wheat","1968","t","203184"
"Crops and livestock products","Albania","Area harvested","Wheat","1969","ha","146547"
"Crops and livestock products","Albania","Yield","Wheat","1969","kg/ha","1638.9"
"Crops and livestock products","Albania","Production","Wheat","1969","t","240177"
"Crops and livestock products","Albania","Area harvested","Wheat","1970","ha","147353"
"Crops and livestock products","Albania","Yield","Wheat","1970","kg/ha","1537.7"
"Crops and livestock products","Albania","Production","Wheat","1970","t","226582"
"Crops and livestock products","Albania","Area harvested","Wheat","1971","ha","138477"
"Crops and livestock products","Albania","Yield","Wheat","1971","kg/ha","1873.5"
"Crops and livestock products","Albania","Production","Wheat","1971","t","259431"
"Crops and livestock products","Albania","Area harvested","Wheat","1972","ha","150000"
"Crops and livestock products","Albania","Yield","Wheat","1972","kg/ha","1900"
"Crops and livestock products","Albania","Production","Wheat","1972","t","285000"
"Crops and livestock products","Albania","Area harvested","Wheat","1973","ha","165700"
"Crops and livestock products","Albania","Yield","Wheat","1973","kg/ha","2009.7"
"Crops and livestock products","Albania","Production","Wheat","1973","t","333000"
"Crops and livestock products","Albania","Area harvested","Wheat","1974","ha","160000"
"Crops and livestock products","Albania","Yield","Wheat","1974","kg/ha","2062.5"
"Crops and livestock products","Albania","Production","Wheat","1974","t","330000"
"Crops and livestock products","Albania","Area harvested","Wheat","1975","ha","160000"
"Crops and livestock products","Albania","Yield","Wheat","1975","kg/ha","1937.5"
"Crops and livestock products","Albania","Production","Wheat","1975","t","310000"
"Crops and livestock products","Albania","Area harvested","Wheat","1976","ha","190000"
"Crops and livestock products","Albania","Yield","Wheat","1976","kg/ha","2552.6"
"Crops and livestock products","Albania","Production","Wheat","1976","t","485000"
"Crops and livestock products","Albania","Area harvested","Wheat","1977","ha","200000"
"Crops and livestock products","Albania","Yield","Wheat","1977","kg/ha","2450"
"Crops and livestock products","Albania","Production","Wheat","1977","t","490000"
"Crops and livestock products","Albania","Area harvested","Wheat","1978","ha","200000"
"Crops and livestock products","Albania","Yield","Wheat","1978","kg/ha","2450"
"Crops and livestock products","Albania","Production","Wheat","1978","t","490000"
"Crops and livestock products","Albania","Area harvested","Wheat","1979","ha","197000"
"Crops and livestock products","Albania","Yield","Wheat","1979","kg/ha","2490"
"Crops and livestock products","Albania","Production","Wheat","1979","t","490530"
"Crops and livestock products","Albania","Area harvested","Wheat","1980","ha","196800"
"Crops and livestock products","Albania","Yield","Wheat","1980","kg/ha","2519.8"
"Crops and livestock products","Albania","Production","Wheat","1980","t","495900"
"Crops and livestock products","Albania","Area harvested","Wheat","1981","ha","193000"
"Crops and livestock products","Albania","Yield","Wheat","1981","kg/ha","2532.1"
"Crops and livestock products","Albania","Production","Wheat","1981","t","488700"
"Crops and livestock products","Albania","Area harvested","Wheat","1982","ha","194900"
"Crops and livestock products","Albania","Yield","Wheat","1982","kg/ha","2688.6"
"Crops and livestock products","Albania","Production","Wheat","1982","t","524000"
"Crops and livestock products","Albania","Area harvested","Wheat","1983","ha","188800"
"Crops and livestock products","Albania","Yield","Wheat","1983","kg/ha","3087.9"
"Crops and livestock products","Albania","Production","Wheat","1983","t","583000"
"Crops and livestock products","Albania","Area harvested","Wheat","1984","ha","190000"
"Crops and livestock products","Albania","Yield","Wheat","1984","kg/ha","3157.9"
"Crops and livestock products","Albania","Production","Wheat","1984","t","600000"
"Crops and livestock products","Albania","Area harvested","Wheat","1985","ha","192000"
"Crops and livestock products","Albania","Yield","Wheat","1985","kg/ha","3140.6"
"Crops and livestock products","Albania","Production","Wheat","1985","t","603000"
"Crops and livestock products","Albania","Area harvested","Wheat","1986","ha","199000"
"Crops and livestock products","Albania","Yield","Wheat","1986","kg/ha","2894.5"
"Crops and livestock products","Albania","Production","Wheat","1986","t","576000"
"Crops and livestock products","Albania","Area harvested","Wheat","1987","ha","191100"
"Crops and livestock products","Albania","Yield","Wheat","1987","kg/ha","3103.1"
"Crops and livestock products","Albania","Production","Wheat","1987","t","593000"
"Crops and livestock products","Albania","Area harvested","Wheat","1988","ha","199000"
"Crops and livestock products","Albania","Yield","Wheat","1988","kg/ha","3201"
"Crops and livestock products","Albania","Production","Wheat","1988","t","637000"
"Crops and livestock products","Albania","Area harvested","Wheat","1989","ha","209200"
"Crops and livestock products","Albania","Yield","Wheat","1989","kg/ha","2930.2"
"Crops and livestock products","Albania","Production","Wheat","1989","t","613000"
"Crops and livestock products","Albania","Area harvested","Wheat","1990","ha","203000"
"Crops and livestock products","Albania","Yield","Wheat","1990","kg/ha","3019.7"
"Crops and livestock products","Albania","Production","Wheat","1990","t","613000"
"Crops and livestock products","Albania","Area harvested","Wheat","1991","ha","143658"
"Crops and livestock products","Albania","Yield","Wheat","1991","kg/ha","2069.8"
"Crops and livestock products","Albania","Production","Wheat","1991","t","297340"
"Crops and livestock products","Albania","Area harvested","Wheat","1992","ha","103273"
"Crops and livestock products","Albania","Yield","Wheat","1992","kg/ha","2438.8"
"Crops and livestock products","Albania","Production","Wheat","1992","t","251862"
"Crops and livestock products","Albania","Area harvested","Wheat","1993","ha","154959"
"Crops and livestock products","Albania","Yield","Wheat","1993","kg/ha","2997.6"
"Crops and livestock products","Albania","Production","Wheat","1993","t","464498"
"Crops and livestock products","Albania","Area harvested","Wheat","1994","ha","169728"
"Crops and livestock products","Albania","Yield","Wheat","1994","kg/ha","2474.5"
"Crops and livestock products","Albania","Production","Wheat","1994","t","420000"
"Crops and livestock products","Albania","Area harvested","Wheat","1995","ha","141219"
"Crops and livestock products","Albania","Yield","Wheat","1995","kg/ha","2870.3"
"Crops and livestock products","Albania","Production","Wheat","1995","t","405342"
"Crops and livestock products","Albania","Area harvested","Wheat","1996","ha","124721"
"Crops and livestock products","Albania","Yield","Wheat","1996","kg/ha","2174.1"
"Crops and livestock products","Albania","Production","Wheat","1996","t","271150"
"Crops and livestock products","Albania","Area harvested","Wheat","1997","ha","136200"
"Crops and livestock products","Albania","Yield","Wheat","1997","kg/ha","2851.6"
"Crops and livestock products","Albania","Production","Wheat","1997","t","388391"
"Crops and livestock products","Albania","Area harvested","Wheat","1998","ha","140910"
"Crops and livestock products","Albania","Yield","Wheat","1998","kg/ha","2803.7"
"Crops and livestock products","Albania","Production","Wheat","1998","t","395067"
"Crops and livestock products","Albania","Area harvested","Wheat","1999","ha","109000"
"Crops and livestock products","Albania","Yield","Wheat","1999","kg/ha","2495.4"
"Crops and livestock products","Albania","Production","Wheat","1999","t","272000"
"Crops and livestock products","Albania","Area harvested","Wheat","2000","ha","112000"
"Crops and livestock products","Albania","Yield","Wheat","2000","kg/ha","3045.5"
"Crops and livestock products","Albania","Production","Wheat","2000","t","341100"
"Crops and livestock products","Albania","Area harvested","Wheat","2001","ha","100000"
"Crops and livestock products","Albania","Yield","Wheat","2001","kg/ha","2822"
"Crops and livestock products","Albania","Production","Wheat","2001","t","282200"
"Crops and livestock products","Albania","Area harvested","Wheat","2002","ha","93400"
"Crops and livestock products","Albania","Yield","Wheat","2002","kg/ha","3161.7"
"Crops and livestock products","Albania","Production","Wheat","2002","t","295300"
"Crops and livestock products","Albania","Area harvested","Wheat","2003","ha","90782"
"Crops and livestock products","Albania","Yield","Wheat","2003","kg/ha","2862.9"
"Crops and livestock products","Albania","Production","Wheat","2003","t","259900"
"Crops and livestock products","Albania","Area harvested","Wheat","2004","ha","81400"
"Crops and livestock products","Albania","Yield","Wheat","2004","kg/ha","3113"
"Crops and livestock products","Albania","Production","Wheat","2004","t","253400"
"Crops and livestock products","Albania","Area harvested","Wheat","2005","ha","82325"
"Crops and livestock products","Albania","Yield","Wheat","2005","kg/ha","3158.2"
"Crops and livestock products","Albania","Production","Wheat","2005","t","260000"
"Crops and livestock products","Albania","Area harvested","Wheat","2006","ha","75000"
"Crops and livestock products","Albania","Yield","Wheat","2006","kg/ha","3078.7"
"Crops and livestock products","Albania","Production","Wheat","2006","t","230900"
"Crops and livestock products","Albania","Area harvested","Wheat","2007","ha","70290"
"Crops and livestock products","Albania","Yield","Wheat","2007","kg/ha","3549.6"
"Crops and livestock products","Albania","Production","Wheat","2007","t","249500"
"Crops and livestock products","Albania","Area harvested","Wheat","2008","ha","83400"
"Crops and livestock products","Albania","Yield","Wheat","2008","kg/ha","4016.8"
"Crops and livestock products","Albania","Production","Wheat","2008","t","335000"
"Crops and livestock products","Albania","Area harvested","Wheat","2009","ha","82800"
"Crops and livestock products","Albania","Yield","Wheat","2009","kg/ha","4022.9"
"Crops and livestock products","Albania","Production","Wheat","2009","t","333100"
"Crops and livestock products","Albania","Area harvested","Wheat","2010","ha","73900"
"Crops and livestock products","Albania","Yield","Wheat","2010","kg/ha","3990.5"
"Crops and livestock products","Albania","Production","Wheat","2010","t","294900"
"Crops and livestock products","Albania","Area harvested","Wheat","2011","ha","69219"
"Crops and livestock products","Albania","Yield","Wheat","2011","kg/ha","4230.1"
"Crops and livestock products","Albania","Production","Wheat","2011","t","292800"
"Crops and livestock products","Albania","Area harvested","Wheat","2012","ha","73000"
"Crops and livestock products","Albania","Yield","Wheat","2012","kg/ha","4109.6"
"Crops and livestock products","Albania","Production","Wheat","2012","t","300000"
"Crops and livestock products","Albania","Area harvested","Wheat","2013","ha","71200"
"Crops and livestock products","Albania","Yield","Wheat","2013","kg/ha","4129.2"
"Crops and livestock products","Albania","Production","Wheat","2013","t","294000"
"Crops and livestock products","Albania","Area harvested","Wheat","2014","ha","69998"
"Crops and livestock products","Albania","Yield","Wheat","2014","kg/ha","4000.1"
"Crops and livestock products","Albania","Production","Wheat","2014","t","280000"
"Crops and livestock products","Albania","Area harvested","Wheat","2015","ha","69600"
"Crops and livestock products","Albania","Yield","Wheat","2015","kg/ha","3951.1"
"Crops and livestock products","Albania","Production","Wheat","2015","t","275000"
"Crops and livestock products","Albania","Area harvested","Wheat","2016","ha","70512"
"Crops and livestock products","Albania","Yield","Wheat","2016","kg/ha","3900"
"Crops and livestock products","Albania","Production","Wheat","2016","t","275000"
"Crops and livestock products","Albania","Area harvested","Wheat","2017","ha","68095"
"Crops and livestock products","Albania","Yield","Wheat","2017","kg/ha","4036.7"
"Crops and livestock products","Albania","Production","Wheat","2017","t","274877"
"Crops and livestock products","Albania","Area harvested","Wheat","2018","ha","65072"
"Crops and livestock products","Albania","Yield","Wheat","2018","kg/ha","3692.7"
"Crops and livestock products","Albania","Production","Wheat","2018","t","240294"
"Crops and livestock products","Albania","Area harvested","Wheat","2019","ha","57330"
"Crops and livestock products","Albania","Yield","Wheat","2019","kg/ha","4068"
"Crops and livestock products","Albania","Production","Wheat","2019","t","233218"
"Crops and livestock products","Albania","Area harvested","Wheat","2020","ha","53946"
"Crops and livestock products","Albania","Yield","Wheat","2020","kg/ha","4327.1"
"Crops and livestock products","Albania","Production","Wheat","2020","t","233430"
"Crops and livestock products","Albania","Area harvested","Wheat","2021","ha","54514"
"Crops and livestock products","Albania","Yield","Wheat","2021","kg/ha","4130.5"
"Crops and livestock products","Albania","Production","Wheat","2021","t","225170.9"
"Crops and livestock products","Albania","Area harvested","Wheat","2022","ha","54267"
"Crops and livestock products","Albania","Yield","Wheat","2022","kg/ha","4296.3"
"Crops and livestock products","Albania","Production","Wheat","2022","t","233145"
"Crops and livestock products","Albania","Area harvested","Wheat","2023","ha","57620"
"Crops and livestock products","Albania","Yield","Wheat","2023","kg/ha","4053.9"
"Crops and livestock products","Albania","Production","Wheat","2023","t","233584.68"
"Crops and livestock products","Albania","Area harvested","Wheat","2024","ha","45970"
"Crops and livestock products","Albania","Yield","Wheat","2024","kg/ha","3933.3"
"Crops and livestock products","Albania","Production","Wheat","2024","t","180812.2"
"Crops and livestock products","Austria","Area harvested","Barley","1961","ha","187648"
"Crops and livestock products","Austria","Yield","Barley","1961","kg/ha","2726.2"
"Crops and livestock products","Austria","Production","Barley","1961","t","511571"
"Crops and livestock products","Austria","Area harvested","Barley","1962","ha","193080"
"Crops and livestock products","Austria","Yield","Barley","1962","kg/ha","2883"
"Crops and livestock products","Austria","Production","Barley","1962","t","556640"
"Crops and livestock products","Austria","Area harvested","Barley","1963","ha","229051"
"Crops and livestock products","Austria","Yield","Barley","1963","kg/ha","2695.2"
"Crops and livestock products","Austria","Production","Barley","1963","t","617331"
"Crops and livestock products","Austria","Area harvested","Barley","1964","ha","227182"
"Crops and livestock products","Austria","Yield","Barley","1964","kg/ha","2663.8"
"Crops and livestock products","Austria","Production","Barley","1964","t","605177"
"Crops and livestock products","Austria","Area harvested","Barley","1965","ha","220080"
"Crops and livestock products","Austria","Yield","Barley","1965","kg/ha","2375.8"
"Crops and livestock products","Austria","Production","Barley","1965","t","522864"
"Crops and livestock products","Austria","Area harvested","Barley","1966","ha","229902"
"Crops and livestock products","Austria","Yield","Barley","1966","kg/ha","3069.6"
"Crops and livestock products","Austria","Production","Barley","1966","t","705712"
"Crops and livestock products","Austria","Area harvested","Barley","1967","ha","231700"
"Crops and livestock products","Austria","Yield","Barley","1967","kg/ha","3332.8"
"Crops and livestock products","Austria","Production","Barley","1967","t","772210"
"Crops and livestock products","Austria","Area harvested","Barley","1968","ha","238396"
"Crops and livestock products","Austria","Yield","Barley","1968","kg/ha","3229.8"
"Crops and livestock products","Austria","Production","Barley","1968","t","769979"
"Crops and livestock products","Austria","Area harvested","Barley","1969","ha","273836"
"Crops and livestock products","Austria","Yield","Barley","1969","kg/ha","3409.7"
